GeneID,GSM6287835,GSM6287836,GSM6287837,GSM6287838,GSM6287839,GSM6287840,GSM6287841,GSM6287842,GSM6287843,GSM6287844,GSM6287845
54973,589,1180,1017,469,1323,871,2136,3627,2180,1025,1652
102465435,0,0,2,0,0,1,3,2,4,0,1
80772,169,262,245,130,314,255,491,1027,729,241,327
83756,9,3,3,2,21,15,9,11,5,3,3
1855,156,294,172,131,365,212,543,1260,570,237,354
102466740,0,0,0,0,0,0,1,2,1,0,0
54587,31,98,91,33,6,41,217,206,73,44,167
54998,1721,6229,1571,962,5441,3350,2083,3061,3405,1506,2881
81669,516,559,1115,569,1078,504,2125,2738,3272,1374,1476
148413,487,1465,593,279,1420,902,746,764,1698,654,1070
55052,1356,2900,1984,1092,3776,2215,2227,3080,5206,2149,3299
107984868,0,0,0,0,0,0,2,0,7,0,0
441869,0,0,0,0,0,0,0,0,0,0,0
105378585,0,0,1,0,0,0,0,0,0,0,0
643965,0,0,0,0,0,0,0,0,0,0,0
102724312,2,0,0,0,0,0,0,0,4,0,0
107985729,0,0,0,0,0,0,0,0,1,0,0
64856,7,0,11,12,15,0,7,31,15,0,14
219293,7,11,13,5,23,4,14,30,30,8,19
83858,317,895,608,244,945,591,941,1487,1392,639,1087
55210,298,538,384,185,542,348,646,1176,852,353,783
339453,0,0,0,0,1,0,0,4,0,3,0
29101,1055,2182,3217,2101,3051,1809,6760,9521,5431,2087,5931
643988,390,876,335,145,1185,558,299,460,732,211,387
105378586,0,0,0,1,0,0,6,32,1,5,0
142678,104,151,268,183,181,96,654,1425,681,247,334
8510,45,121,53,24,102,83,88,82,105,36,94
984,285,423,758,340,440,285,1671,2208,1921,755,1269
728661,292,196,812,482,466,195,2819,5189,1700,625,1448
8511,4,15,16,4,4,5,42,80,11,1,29
728642,298,511,648,343,554,352,1556,2066,1749,706,1092
9906,343,194,769,470,529,216,2355,3676,1767,682,1299
112268218,255,582,732,409,614,502,918,1176,780,317,1162
65220,841,1824,4541,2102,1807,1271,10978,17012,4533,2126,7342
2782,4033,4237,9260,4599,7080,3974,19001,24477,22745,9985,15234
105378949,2,11,1,1,27,0,17,8,33,0,13
163688,5,0,6,4,18,1,10,6,14,2,4
339456,0,0,1,0,0,11,0,4,5,0,0
85452,0,0,0,0,0,0,0,0,1,1,0
107984872,0,0,0,0,0,0,0,0,0,0,0
105378589,0,0,0,0,0,0,0,0,0,0,0
2563,0,2,0,0,0,0,4,3,0,0,0
105378590,0,0,0,0,0,0,0,0,0,0,0
105378591,0,0,0,0,0,0,0,0,0,0,0
5590,7,17,5,7,12,3,32,41,16,16,24
100506504,0,0,1,0,0,0,0,1,0,0,0
199990,308,652,373,194,796,585,565,883,925,286,595
112268219,52,46,57,29,99,62,126,131,160,63,114
105378593,6,0,3,0,0,7,0,17,4,8,2
6497,231,259,345,229,218,172,1844,3893,1010,325,691
79906,43,50,46,32,72,59,104,155,113,40,91
100129534,33,32,53,14,15,5,88,87,113,47,57
11079,2081,4329,3886,2268,5029,2938,7536,9979,9829,4056,7112
5192,148,174,328,184,258,133,663,792,1050,368,631
9651,4,0,1,0,5,2,2,5,8,2,5
55229,114,130,300,162,153,118,936,1322,580,220,484
388585,0,9,0,0,5,0,1,1,0,0,1
115110,273,491,828,448,586,295,4241,9230,1724,782,1467
8764,3975,7181,7960,4860,11252,6387,27078,54941,15020,6173,14886
100996583,6,32,46,32,27,5,286,299,68,28,149
127281,1142,2875,1826,936,2648,2168,4536,8724,4698,2282,3401
79258,111,87,196,103,135,107,486,1037,473,184,351
105378597,2,0,3,0,0,12,0,1,10,0,6
100287898,40,48,44,15,64,40,90,33,142,54,98
105378603,0,0,0,0,0,0,0,0,0,0,0
105378602,0,0,0,0,0,0,0,0,0,0,0
105378601,0,0,0,0,0,0,0,0,0,0,0
112268220,0,0,0,0,0,0,0,0,0,0,0
107985732,0,0,0,0,0,0,0,0,0,0,0
105378600,0,0,0,0,0,0,0,0,0,0,0
105378598,0,0,0,0,0,0,0,0,0,0,0
107984904,0,0,0,0,0,0,0,0,0,0,0
105378599,0,0,0,0,0,0,0,0,0,0,0
140625,0,0,0,0,0,0,0,0,0,0,0
440556,0,0,0,0,0,0,0,2,0,2,6
63976,0,0,0,0,2,1,1,9,2,0,0
100422968,0,0,0,0,0,0,0,0,0,0,0
105378606,0,0,0,0,0,0,0,0,0,0,0
107984909,0,0,0,0,0,0,0,0,0,0,0
105378605,0,0,0,0,0,0,0,0,0,0,0
105378604,0,28,19,18,28,0,14,65,19,4,63
27237,1,0,3,1,11,0,1,11,1,0,7
1953,477,732,500,342,895,585,1643,2762,1407,529,713
105378608,0,0,0,0,0,0,0,0,0,0,0
693135,0,0,0,0,0,0,0,0,0,0,0
105378607,0,0,0,0,0,0,0,0,0,0,0
127262,1752,3020,3359,2025,4304,1933,7167,9817,5949,1779,4515
49856,163,153,358,273,364,176,1181,1801,885,312,591
7161,37,27,68,38,56,17,438,1212,81,1,73
105378610,3,0,12,19,4,4,98,179,20,1,17
105378609,0,0,3,0,0,0,1,1,0,0,0
57212,169,144,360,212,262,136,1193,1647,820,295,597
148870,1,0,0,2,0,1,0,0,1,0,0
388588,2,0,0,2,0,0,2,8,24,0,4
57470,643,1105,1276,792,1570,984,2896,3888,3042,1123,2197
9731,194,228,409,195,240,102,1366,2300,826,309,666
1677,48,25,198,116,130,68,557,1103,372,153,353
107984910,1,0,2,1,0,0,4,2,30,13,13
339448,377,344,893,528,574,370,2141,2793,2137,769,1411
100133612,8,0,14,4,9,0,71,72,29,5,23
728716,0,0,0,0,0,0,0,0,0,0,0
105376672,0,0,0,0,0,0,0,1,0,0,0
105376673,0,0,0,0,0,0,0,0,0,0,0
284661,0,0,0,0,0,0,0,0,0,0,0
105376674,0,0,0,0,0,0,0,0,0,0,0
105376679,0,0,0,0,0,0,0,0,0,0,0
107985376,0,0,0,0,0,0,0,0,0,0,0
55966,0,0,18,0,35,10,54,102,62,7,13
105376680,0,0,0,0,0,0,0,0,0,0,0
102724429,0,0,0,0,0,0,0,0,0,0,0
105376681,0,0,0,0,0,0,0,0,0,0,0
105376682,0,0,0,0,0,0,0,0,0,0,0
107984911,0,0,0,0,0,0,0,0,0,0,0
105376686,0,0,0,0,0,0,0,0,0,0,0
100616421,0,0,0,0,0,0,0,0,0,0,0
261734,90,3,152,98,69,44,497,993,289,71,225
8514,2723,2839,5466,3753,5360,3091,20702,33211,10512,3797,9942
26038,0,0,0,0,3,0,4,2,1,0,0
105376687,0,0,0,0,0,0,0,0,0,0,0
6146,8183,12700,15909,9238,22439,12763,34276,28720,51097,21018,27101
107985733,19,21,58,31,30,24,123,105,177,50,84
102724450,4,0,1,2,0,0,7,4,1,1,0
388591,58,70,59,43,136,108,82,194,155,41,107
23463,585,699,1738,885,1196,785,5236,9090,4030,1568,3042
148645,4,37,16,5,17,9,71,41,5,3,32
390992,0,0,0,0,0,0,0,0,0,0,0
387509,114,593,405,123,628,397,2367,2867,784,555,1358
11332,443,820,522,199,713,469,834,1038,1353,535,1099
54626,15,15,23,14,50,46,106,347,95,24,46
83715,0,0,2,5,8,8,1,21,4,1,0
100422975,0,0,0,0,0,0,0,0,0,0,0
8718,0,0,7,18,25,10,4,31,32,8,23
57449,17,11,54,49,1,8,33,290,101,25,48
79707,321,630,521,258,711,501,1135,1463,1655,692,1046
80835,6,0,1,2,0,2,1,0,0,0,0
107984912,0,0,0,0,0,0,0,0,0,0,0
3104,639,1134,1003,492,1360,737,2205,3214,2174,729,1870
9903,331,168,970,634,534,207,4525,7834,1867,555,1958
107984913,9,0,6,1,0,0,6,21,14,0,5
148479,128,176,330,184,296,95,1172,2195,596,271,448
90326,368,732,641,327,1037,561,1352,2031,1477,538,1168
55735,232,340,724,237,308,303,1680,2344,1423,585,1200
100505887,0,0,0,0,0,0,0,0,0,0,0
110841581,1,0,32,2,14,6,54,32,37,7,6
23261,358,342,792,474,664,330,1254,1135,1892,703,1525
105376692,0,0,0,0,0,0,0,0,0,0,0
102725193,5,0,0,0,0,0,0,0,0,0,0
101928836,0,0,0,0,0,0,0,0,0,0,0
105376691,0,0,0,0,0,0,0,0,0,0,0
105376689,0,4,4,1,0,0,9,4,0,2,7
9341,1393,1518,3468,1698,2441,1683,7758,10023,8271,3673,5366
8863,155,80,380,208,91,144,2276,4743,484,225,427
10911,0,0,9,2,0,0,15,34,7,11,16
3604,46,455,316,41,65,102,874,329,405,663,617
11315,3457,4828,7374,3611,7679,4492,10293,13275,15398,6368,11767
54206,72,69,227,102,50,47,850,1974,598,297,435
107984915,0,0,2,1,10,18,0,0,7,1,0
102724539,0,0,0,0,0,0,0,0,0,0,0
105376695,0,0,0,0,0,0,0,0,0,0,0
50651,0,0,1,1,0,0,21,22,8,3,12
473,561,402,1075,784,685,395,2354,4630,2169,635,1607
102724552,7,0,7,8,0,11,7,7,13,2,26
106632271,0,0,0,0,0,0,0,0,0,0,0
2023,14849,24958,37779,15548,24972,13217,53694,68520,54832,23827,64589
102465436,3,0,0,0,0,0,0,1,1,2,0
100505975,0,6,3,1,28,4,1,9,22,10,14
112268261,0,0,0,0,0,0,0,0,0,0,0
765,0,0,0,0,0,1,0,0,0,0,0
155184,0,0,0,0,0,0,0,0,0,0,0
6518,84,118,111,119,172,122,472,1055,229,59,179
80045,152,432,273,141,280,283,1184,2012,763,465,692
106614088,361,577,868,497,656,376,2831,3218,2129,481,1317
407040,3,8,2,1,5,1,13,26,3,0,7
102724571,48,131,44,31,111,47,122,109,147,55,68
9563,1108,1433,2050,872,2257,1208,4432,6740,4544,2051,3337
80176,270,465,330,245,562,319,2436,5600,888,585,821
100506022,5,0,44,13,21,8,63,84,60,19,66
84275,94,231,723,355,276,174,1784,3035,1075,631,1501
199953,99,99,127,88,105,69,304,584,269,80,249
107985734,18,48,14,17,22,5,12,36,7,3,23
105376712,0,0,0,0,0,0,0,0,0,0,0
5293,563,1040,1284,698,1518,725,2557,4902,1914,908,2047
644997,2,0,9,4,4,9,13,5,25,1,19
101929074,11,70,34,16,40,10,38,75,31,25,53
22883,830,848,1407,774,1221,733,3460,7213,2782,1016,1876
56998,458,641,634,478,1023,545,1482,1960,1732,604,895
105376717,20,14,55,23,37,8,113,241,78,33,71
84328,660,1246,1490,949,1209,770,4490,5534,4128,1649,3138
64802,432,539,1049,553,633,408,2320,3143,1910,834,1616
113391335,6,5,0,4,0,24,3,2,0,17,5
100847055,0,0,0,0,0,0,0,0,0,0,0
116362,121,496,109,140,468,123,251,252,590,195,148
10277,736,481,1924,1148,620,437,5468,5238,2890,1107,3473
23095,1232,1536,1212,753,1295,1066,3854,5445,3481,1522,1908
105376725,6,0,1,1,18,4,7,11,10,20,6
5226,4764,8979,17340,8994,10040,5433,26767,46539,23886,10027,27060
100526739,18,32,85,61,55,28,262,464,173,64,169
378708,32,35,118,68,90,39,360,537,263,94,255
1325,1,14,3,3,5,5,9,19,17,4,0
1676,405,741,1143,705,961,584,3057,4794,2186,891,2037
5195,316,433,539,303,521,273,1126,2798,1182,419,839
54897,3,0,13,5,2,13,67,116,25,4,40
105376733,0,0,0,0,0,0,0,0,0,0,0
105376735,0,0,0,0,0,0,0,0,0,0,0
148345,131,150,209,169,219,69,397,492,395,38,180
23435,1432,2512,3462,1852,2942,1892,5106,5550,6862,2592,5271
10747,34,13,34,22,41,35,44,79,259,56,76
6723,544,706,1043,483,803,453,1446,2609,2130,943,1748
5394,656,708,1543,827,1122,756,3867,4700,4438,1882,2678
105376736,10,9,38,13,14,5,54,94,58,17,42
2475,569,589,1112,582,621,516,2193,3394,2200,875,1582
100873935,6,24,4,3,0,7,11,34,8,3,4
10218,7,0,2,0,0,1,0,0,0,0,2
29914,114,240,240,132,195,104,556,771,949,437,496
105376737,0,0,0,0,0,0,0,0,0,0,0
105376739,0,0,0,0,0,0,0,0,0,0,0
105376740,0,0,0,0,0,0,0,0,0,0,0
57540,0,0,2,0,0,0,2,0,1,0,0
112268221,0,0,1,0,0,0,0,1,0,0,0
101929181,0,0,0,0,0,0,0,0,0,0,0
26232,0,5,6,2,0,0,3,24,1,0,29
93611,111,349,436,299,382,190,1073,1747,668,335,817
26270,138,450,840,387,296,255,1072,2442,981,714,1883
10459,316,1128,749,446,1066,613,1737,3141,1335,690,1694
374946,17,37,7,14,23,13,69,92,44,30,20
57085,1031,2887,2729,1071,2609,1578,4523,7201,4404,2006,4757
284498,81,90,125,44,352,117,296,705,184,59,187
102724659,0,0,0,0,0,0,0,0,0,0,0
4524,1232,2421,1590,935,1949,767,3609,6525,2958,934,2414
1185,364,339,726,342,334,269,1270,2071,1161,393,885
100379251,28,45,65,36,11,9,151,218,128,52,65
4878,33,64,66,24,40,3,47,60,124,38,60
4879,0,0,0,0,0,0,0,0,0,0,0
26829,1,0,0,0,0,0,0,3,0,0,2
90231,1143,2322,1872,1167,3510,1784,3771,5531,4343,1620,3088
5351,2116,3598,4518,2728,4049,2034,9012,17347,5995,2332,7503
9927,702,850,1658,759,958,772,3341,5359,3943,1701,2572
60672,408,1222,1243,640,1021,696,1733,3284,1581,509,2021
102466982,0,0,0,0,0,0,1,2,0,0,1
943,9,7,34,21,58,28,19,75,109,15,56
102465836,0,0,0,0,0,1,0,0,0,0,0
7133,7491,15005,11527,6092,19970,11134,31199,49791,24046,9695,19159
100616438,0,20,0,0,0,0,0,0,0,0,0
107984917,0,0,5,3,6,0,6,30,13,0,8
55187,797,486,903,590,601,472,2486,3700,2055,721,1491
677885,4,0,0,7,11,8,11,16,0,1,8
105376744,14,46,14,13,19,6,58,60,26,26,38
9249,921,955,1142,721,1846,1146,2349,3044,2598,499,1124
102466722,0,0,0,1,0,0,0,3,0,0,0
343066,0,0,1,0,0,1,1,0,1,0,0
126767,0,0,0,0,0,0,0,0,0,0,0
93190,0,0,0,0,0,0,0,0,0,0,0
390999,0,1,0,0,0,0,0,0,2,1,0
65121,0,0,0,0,0,0,0,0,0,0,0
105376745,0,0,0,0,0,0,0,0,0,0,0
440560,0,1,0,0,1,0,0,0,1,0,0
343069,0,0,1,0,1,0,0,0,2,3,1
65122,0,1,0,0,2,0,1,0,0,0,0
400735,0,0,0,0,1,0,0,0,0,0,0
343071,0,0,0,0,0,0,0,0,0,0,0
441871,0,0,0,0,1,0,0,0,0,1,0
440561,0,0,0,0,1,0,0,0,0,0,0
101929983,0,0,0,0,0,0,0,0,0,0,0
649330,0,0,0,0,0,0,0,0,2,0,0
441873,0,0,0,0,0,0,0,0,0,0,0
649324,0,0,0,0,0,0,0,0,1,0,0
440563,0,0,0,0,0,0,0,0,0,0,0
645354,0,0,0,0,0,0,0,0,1,0,0
645359,0,0,0,0,0,1,0,0,0,0,0
101060301,0,0,0,0,0,0,0,0,0,2,0
343070,0,0,0,0,0,0,0,0,0,0,0
400736,0,0,1,0,0,0,0,0,0,0,0
391003,0,0,0,0,1,1,0,0,0,0,0
343068,0,0,0,0,1,0,0,0,0,0,0
391002,0,0,0,0,1,0,0,0,0,1,0
645382,0,0,0,0,0,0,0,0,0,0,0
653619,0,0,0,0,1,0,0,0,0,0,0
729528,0,0,0,0,0,0,0,0,0,0,0
645414,0,0,0,0,0,1,0,0,0,0,0
391004,0,0,0,0,0,0,0,0,0,0,0
645425,0,0,0,0,1,0,0,0,0,0,0
126755,0,0,0,0,0,0,0,0,0,0,0
102724856,0,0,0,0,0,0,0,0,0,0,0
107984918,0,0,0,0,0,0,0,0,0,0,0
10630,124,239,183,105,248,123,321,529,796,374,477
107984919,0,0,0,2,0,5,0,0,1,0,3
105378612,0,0,0,0,0,0,0,0,0,0,0
105376756,0,0,0,0,0,0,0,0,0,0,0
7799,377,346,575,369,462,448,2282,2508,1595,634,1300
23254,24,35,47,31,39,17,152,179,88,49,62
107985467,0,0,0,0,0,0,0,0,0,0,0
107985468,0,0,0,0,0,0,0,0,0,0,2
105376762,0,0,0,0,0,0,0,4,0,0,0
105376759,1,0,0,0,0,0,0,0,0,0,1
107985469,0,0,0,0,0,0,0,0,0,1,0
200197,10,2,63,31,12,4,166,122,40,20,91
55092,565,1088,1510,841,1456,967,3884,6999,3062,1056,2733
727684,29,47,6,4,15,18,24,18,19,6,17
114827,9,0,19,6,1,0,33,113,7,14,47
101927417,7,0,8,10,0,0,18,30,32,5,10
101927441,20,2,10,0,16,42,17,14,10,16,10
79180,3619,10799,6846,3087,7636,5709,8653,12823,11631,5463,12407
11330,1,0,4,0,0,0,0,3,13,0,0
63036,0,0,0,1,0,0,0,1,0,0,0
105376767,0,0,0,0,0,0,0,1,0,0,0
51032,1,0,3,0,0,0,9,6,2,2,2
842,161,85,386,236,380,144,1109,1797,990,333,652
23341,215,169,461,226,183,133,1767,2340,1013,481,885
107397391,0,0,0,0,0,0,0,0,0,0,0
79814,38,12,33,15,49,1,457,624,92,33,85
84301,603,451,1364,870,786,460,5510,8857,2715,808,2529
6248,65,59,170,73,48,11,914,1311,264,109,336
23207,1801,3600,3293,1755,3426,2347,8188,15996,5630,2305,5245
284723,98,155,101,88,72,49,178,154,244,94,157
110806303,4,9,3,3,0,0,18,14,15,1,0
388595,0,0,0,0,0,0,0,0,1,1,0
54751,189,350,286,87,625,209,373,143,678,167,415
440567,58,52,163,127,187,121,328,415,482,187,256
729614,70,36,108,40,109,66,183,199,260,72,135
23013,681,445,688,395,376,361,2854,6777,1804,881,1243
7709,382,595,762,435,694,627,1609,2496,1845,956,1471
149563,0,1,0,0,1,0,0,0,0,0,0
27129,13,39,4,6,33,22,4,18,63,5,10
1187,17,0,6,1,5,0,3,1,20,0,0
1188,0,1,2,0,1,2,0,0,1,1,0
348487,0,0,0,0,0,0,0,0,0,0,0
1969,10,23,52,16,12,21,36,120,43,38,45
101927479,2,0,1,1,8,0,0,5,6,0,0
128272,32,23,45,26,33,16,84,177,79,37,87
101927546,7,42,38,21,22,0,69,96,56,6,40
79363,71,84,63,49,219,59,351,557,231,59,264
54455,503,739,979,453,1141,443,1943,2868,2330,1048,1376
26099,699,1143,1994,1035,1351,610,3947,5060,3502,1773,3647
374955,439,840,1153,605,946,459,1485,1669,2106,962,1797
55707,2279,3728,6401,3555,5115,3119,11045,16525,11628,5186,10470
107984921,24,14,22,19,63,21,49,95,88,36,41
114819,98,0,57,33,61,72,128,210,246,83,106
26871,18643,10348,112,231,674,12031,585,1306,2659,856,1238
107985757,0,0,0,0,0,0,0,0,0,0,0
100132147,1,0,0,0,0,0,0,2,0,0,0
107985758,0,0,0,0,0,0,0,2,0,0,0
7195,2,0,0,0,0,2,0,0,4,0,0
55672,507,232,1055,609,350,327,6095,12840,2463,778,1557
105376794,303,149,458,273,301,234,1717,2397,1350,460,927
84809,170,130,336,205,222,175,907,1076,1003,383,743
11209,12,45,87,42,39,28,204,366,92,26,112
107985736,2,0,5,1,2,0,6,10,19,2,3
26869,17038,9618,106,211,618,10864,525,1209,2361,777,1115
107985759,0,0,0,0,0,0,0,0,0,0,0
284729,0,0,0,0,0,1,1,0,1,0,0
100189045,0,0,0,0,0,0,0,0,0,0,0
6060,1045,564,3,10,30,575,24,51,121,34,67
11223,15,32,35,29,26,19,70,134,56,13,62
100500876,0,0,0,0,0,0,0,0,0,0,0
100189298,0,0,0,0,0,0,0,0,0,0,0
112267871,0,0,0,0,0,0,0,0,0,0,0
7193,0,0,0,0,0,0,0,0,0,0,0
100189183,0,0,0,0,0,0,0,0,0,0,0
105376805,142,123,287,207,358,206,450,455,997,315,435
791226,0,0,0,0,0,0,0,1,0,2,0
26870,728,443,1,6,20,405,18,38,87,28,56
9696,111,210,194,106,279,138,378,598,492,147,239
4237,2,0,1,0,6,0,2,3,3,1,10
105376806,2,0,0,0,0,0,2,0,2,0,0
23400,460,1161,1362,548,1058,719,2217,3751,1947,784,2403
6390,1258,1491,3725,2017,2346,1364,6874,9485,6848,2955,6421
11240,1000,2150,1381,954,3608,2198,4552,7992,5883,2782,2562
105376808,0,0,0,0,0,0,0,0,0,0,0
400743,0,0,0,0,0,0,0,0,0,0,0
29943,13,0,0,0,16,0,1,1,0,2,0
51702,0,0,0,0,1,0,0,0,1,0,0
100616188,0,0,0,0,0,0,0,0,0,0,0
23569,0,0,0,0,0,0,1,2,0,1,0
353238,0,0,0,0,0,0,0,0,1,0,1
55920,1162,1833,3124,1675,2033,1523,6482,10531,5438,3034,5137
55160,446,1333,1658,763,758,1152,1369,2825,2821,2484,2267
107984028,0,0,0,0,0,0,0,0,0,0,0
81569,0,0,0,1,0,0,0,0,0,0,0
105376809,0,0,0,0,0,0,0,0,0,0,0
105376812,0,0,0,0,0,0,0,0,0,0,0
101927876,0,0,0,0,0,0,0,0,0,0,0
84966,0,0,0,0,2,0,0,2,0,0,0
105376814,0,0,2,0,0,0,0,0,0,0,0
127707,0,0,0,0,0,0,0,0,0,1,0
5081,0,0,0,0,2,0,0,0,0,0,0
80834,0,0,0,0,1,0,0,0,0,0,0
8659,487,725,665,349,1153,468,992,1195,1184,504,943
100616120,0,0,0,0,0,0,0,0,0,0,0
100302276,2,0,0,0,0,0,0,0,0,0,0
126917,100,33,147,65,231,79,431,837,532,146,280
105376815,0,0,0,0,0,0,0,0,0,0,0
23352,2172,2339,3475,1950,2399,1881,9969,15309,6081,2785,6978
101927895,13,44,20,12,24,5,63,117,36,6,85
23065,760,1400,1524,663,1416,916,3224,4069,3402,1424,2138
51154,659,2571,1041,478,2270,1297,1558,1916,2871,1425,1867
246181,3,0,12,8,2,9,13,34,6,0,6
22977,12,4,12,4,4,0,38,52,27,3,15
100506730,21,0,31,35,26,26,60,110,188,52,50
8574,1211,2451,1656,1049,3058,1852,2996,3956,4355,1641,2673
54896,750,2690,1174,671,2125,1529,1926,3337,2792,1042,2135
832,5881,8177,17183,8444,9224,4794,31920,35910,23849,9311,28436
105376819,7,26,27,7,33,10,18,26,31,6,36
105376818,0,0,2,0,0,0,5,5,0,0,5
105376817,1,0,4,2,0,0,29,7,1,0,21
105378614,0,0,0,0,0,0,1,2,0,0,0
440574,1642,3060,2500,1495,3820,2365,2478,2214,6418,2520,4233
100532736,467,509,1061,584,804,406,1305,1389,2341,954,1904
644068,24,24,54,31,66,99,71,60,118,48,72
4681,131,339,266,140,272,160,572,639,490,223,597
3362,0,0,0,0,0,0,0,10,0,0,2
255104,171,251,308,209,212,144,831,1880,754,259,471
54546,0,0,0,0,0,0,0,0,0,0,0
105376823,0,0,0,0,0,0,0,0,0,0,0
23252,96,23,148,92,132,81,661,1186,617,193,220
30814,0,0,0,0,0,0,0,0,0,0,0
5320,0,0,0,0,0,0,0,0,0,0,0
5322,0,0,0,0,0,1,0,1,0,0,0
26279,658,1338,3521,1023,5540,3089,21554,8416,8180,3662,10757
64600,4,1,0,0,0,0,1,6,6,1,0
391013,19,53,11,2,23,19,21,18,47,12,17
127733,16,0,6,5,19,0,39,61,58,6,6
101928017,2,0,0,0,0,0,4,2,12,5,1
105376825,0,0,0,0,0,0,0,2,0,0,0
105376826,0,0,0,0,0,0,0,0,0,0,0
105376827,0,0,0,0,0,0,0,0,0,0,0
105376828,0,0,0,0,0,0,0,0,0,0,0
127731,0,1,0,0,0,1,0,0,0,0,0
339505,0,0,0,0,0,0,0,0,0,0,0
55450,0,0,0,0,0,0,0,0,0,0,0
79594,423,717,1005,509,858,524,2457,3397,2101,966,1928
163933,0,0,0,0,1,0,0,0,0,0,0
978,8,0,12,6,10,0,42,78,26,13,15
65018,732,801,1146,803,1585,819,3194,5352,2713,1005,1795
102464833,0,0,0,1,0,0,1,5,1,0,0
100861548,1377,2290,2154,1278,3198,1668,4317,5672,4791,1771,3748
1650,2488,3286,7863,3396,4536,2344,16162,19397,13011,5279,12840
57576,86,95,144,97,194,199,363,733,256,131,195
400745,3,1,0,0,1,0,3,0,1,0,6
112268222,293,344,806,540,582,315,2490,3104,2173,878,1528
50809,604,641,1390,844,745,431,5543,8823,2790,1200,2459
8672,537,410,969,467,538,440,1715,3387,2118,819,1294
105376830,6,6,0,1,24,2,1,2,26,5,0
105376829,4,0,0,0,2,0,0,3,0,0,0
100302155,0,0,0,0,0,0,0,0,0,0,0
1889,13,0,15,5,40,25,34,55,51,34,22
100506801,0,0,0,0,0,0,0,0,0,0,0
105376832,0,0,0,0,0,0,0,0,0,0,0
